CODIGOCLIE,Path_archivo_datos,Nombre,CIIU,Mult. de potencias
1512125,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1512125-2023.csv,Desconocido,Desconocido,Desconocido
1514631,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1514631-2023.csv,AVIPLAST S.A.,G4669.21,440.0
1526607,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1526607-2023.csv,Desconocido,Desconocido,Desconocido
1528782,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1528782-2023.csv,ZAIMELLA DEL ECUADOR S.A.,C1709.11,2640.0
1535477,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1535477-2023.csv,MANUFACTURAS ARMADURIAS Y REPUESTOS ECUATORIANOS S.A. MARESA ,G4510.01,1100.0
1538883,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1538883-2023.csv,Desconocido,Desconocido,Desconocido
1542863,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1542863-2023.csv,Desconocido,Desconocido,Desconocido
1548499,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1548499-2023.csv,Desconocido,Desconocido,Desconocido
1560483,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1560483-2023.csv,TASKI S.A.,G4649.96,160.0
1564746,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1564746-2023.csv,INDUSTRIA PIOLERA PONTE SELVA S.A.,C1311.02,600.0
1565547,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1565547-2023.csv,ENVAPRESS CIA. LTDA.,N8292.01,660.0
1567766,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1567766-2023.csv,NUTRIALBEX S.A.,C1080.01,440.0
1573720,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1573720-2023.csv,LA TABLITA GROUP CIA. LTDA.,I5610.01,660.0
1578903,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1578903-2023.csv,Desconocido,Desconocido,Desconocido
1581796,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1581796-2023.csv,SIGMAEC CIA.LTDA.,C1010.22,1400.0
1582042,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1582042-2023.csv,CORPORACION EL ROSADO S.A.,G4711.01,800.0
1582646,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1582646-2023.csv,Desconocido,Desconocido,Desconocido
1582648,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1582648-2023.csv,Desconocido,Desconocido,Desconocido
1582655,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1582655-2023.csv,INDUSTRIAL TEXTILANA S.A.,C1312.01,740.0
1583080,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1583080-2023.csv,GRUPO EL COMERCIO C.A.,C1811.01,660.0
1599366,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1599366-2023.csv,VALLEJO ARAUJO S.A.,G4510.01,800.0
1625226,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1625226-2023.csv,Desconocido,Desconocido,Desconocido
1625546,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1625546-2023.csv,ALIMENTOS FORTIFICADOS FORTESAN CIA. LTDA.,G4711.01,440.0
1627579,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1627579-2023.csv,Desconocido,Desconocido,Desconocido
1628148,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1628148-2023.csv,IMPRENTA MARISCAL CIA LTDA,C1811.02,3300.0
1628519,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1628519-2023.csv,Desconocido,Desconocido,Desconocido
1648253,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1648253-2023.csv,Desconocido,Desconocido,Desconocido
1665927,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1665927-2023.csv,FABRICA DE BATERIAS FABRIBAT CIA. LTDA.,C2720.01,1320.0
1671764,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1671764-2023.csv,LOGIRAN S.A.,H5210.00,440.0
1673072,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1673072-2023.csv,VITA ALIMENTOS C.A.,C1050.01,288.46
1688599,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1688599-2023.csv,CONFECCIONES RECREATIVAS FIBRAN CIA. LTDA.,C1410.02,1320.0
1690395,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1690395-2023.csv,OMNIBUS BB TRANSPORTES S.A.,C2910.01,800.0
1699791,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1699791-2023.csv,Desconocido,Desconocido,Desconocido
1707262,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1707262-2023.csv,Desconocido,Desconocido,Desconocido
1708225,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1708225-2023.csv,NUTRICIONPLUS S.A.S.,G4620.11,80.0
1710578,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1710578-2023.csv,FRUTERA DON MARCOS FRUDONMAR S.A.,G4620.12,555.0
1743835,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1743835-2023.csv,VITRUM S.A.,G4663.15,1110.0
